date,category,amount,merchant,payment_method
2024-12-15,Groceries,4012.37,BigBasket,Cash
2024-09-11,Groceries,4048.96,DMart,Cash
2024-12-18,Bills,,Jio,Cash
2024-10-23,Transport,4882.26,Rapido,Credit Card
2024-12-01,Entertainment,246.25,PVR CINEMAS,Debit Card
2024-02-15,Health,144.83,practicefit gym  ,Net Banking
2024-01-28,Rent,11848.0,Landlord - Sharma,Cash
2024-11-10,HEALTH,978.83,Medplus,Net Banking
2024-05-17,Shopping,2271.69,Amazon,Net Banking
2024-01-18,Groceries,,BigBasket,Credit Card
2024-03-08,Entertainment,1585.54,Hotstar,UPI
2024-06-16,Groceries,2662.44,bigbasket  ,Credit Card
2024-09-07,Rent,9005.4,Landlord - Sharma,Credit Card
2024-11-25,Transport,943.24,Rapido,Net Banking
2024-07-30,Health,2754.37,dr lal path labs  ,Net Banking
2024-08-29,TRANSPORT,1840.0,metro card  ,Cash
2024-04-02,Transport,2884.5,Rapido,Debit Card
2024-08-11,Entertainment,3863.14,Hotstar,
2024-03-26,Shopping,4720.71,Myntra,Debit Card
2024-03-08,Entertainment,1585.54,Hotstar,UPI
2024-02-08,Transport,4550.19,rapido  ,Debit Card
2024-07-18,Transport,2342.52,Ola,UPI
2024-09-14,Transport,2365.38,Rapido,UPI
2024-10-17,Entertainment,1190.0,PVR Cinemas,Credit Card
2024-11-13,Food,4636.73,Dominos,Credit Card
2024-04-16,Groceries,4442.08,Blinkit,Cash
2024-11-16,Groceries,3885.76,More Supermarket,Debit Card
2024-03-04,BILLS,2954.27,BWSSB Water,Debit Card
2024-01-11,  Rent ,9935.6,NoBroker,Debit Card
2024-06-18,Entertainment,1326.88,netflix  ,Credit Card
2024-04-13,transport,4891.05,Indian Oil,Net Banking
2024-09-09,Groceries,,Zepto,Cash
2024-11-08,health,255.79,Dr Lal Path Labs,UPI
2024-02-05,Shopping,4071.0,Croma,UPI
2024-09-29,Transport,,Uber,Debit Card
2024-12-01,Entertainment,246.25,PVR CINEMAS,Debit Card
2024-02-19,Shopping,,Croma,Net Banking
2024-09-07,Rent,9005.4,Landlord - Sharma,Credit Card
2024-09-22,rent,11658.14,NOBROKER,UPI
2024-09-04,Health,3540.1,Apollo Pharmacy,UPI
2024-05-15,Bills,2534.52,Jio,UPI 
2024-05-10,Health,2544.58,Medplus,Debit Card
2024-01-24,Food,2530.55,Big Bazaar,Credit Card
2024-05-22,Health,4779.57,PracticeFit Gym,Net Banking
2024-02-19,Transport,4384.58,Ola,Cash
2024-09-17,Bills,2809.2,Tata Sky,Cash
2024-05-29,Rent,8584.56,NoBroker,Cash
2024-11-28,Health,3438.91,Apollo Pharmacy,Cash
2024-01-25,Groceries,4558.03,more supermarket  ,Credit Card
2024-12-07,Food,1407.58,Dominos,Cash
2024-06-10,Health,2235.57,Apollo Pharmacy,Credit Card
2024-09-12,Transport,4814.47,Ola,Cash
2024-11-11,Bills,1578.82,Electricity Board,Credit Card
2024-02-24,Groceries,3722.14,DMart,Credit Card
2024-04-22,Food,,Big Bazaar,Credit Card
2024-11-30,Groceries,168.32,DMart,UPI
2024-01-10,Shopping,1671.7,Croma,Cash
2024-01-22,RENT,12598.81,NoBroker,Upi
2024-11-10,Bills,866.24,Electricity Board,
2024-07-22,Transport,2103.69,Indian Oil,Cash
2024-04-17,Rent,12965.76,NOBROKER,Cash
2024-07-01,Food,3993.97,Swiggy,UPI
2024-12-15,bills,3087.83,Tata Sky,Net Banking
2024-07-29,Groceries,3201.3,BigBasket,Credit Card
2024-03-08,Food,4892.2,Swiggy,Net Banking
2024-06-25,SHOPPING,2855.49,CROMA,Net Banking
2024-11-08,GROCERIES,4659.47,BigBasket,Credit Card
2024-02-12,Food,1378.77,Swiggy,Cash
2024-08-03,Rent,-12614.63,NoBroker,Net Banking
2024-02-18,Health,4550.45,Dr Lal Path Labs,Debit Card
2024-11-05,Transport,4772.26,Metro Card,upi
2024-10-26,Shopping,3058.47,Croma,UPI
2024-03-17,Rent,9248.98,NoBroker,Debit Card
2024-04-15,Shopping,1203.8,Amazon,Debit Card
